Review_ID,Cus_ID,Pro_ID,Rating,Comment,Review_Date
REV0112,C0571,P0335,2.0,El montag mesh sha8al,2024-12-18
REV0113,C0039,P0311,1.0,El montag 3amali gedan,2023-05-19
REV0114,C0708,P0550,2.0,Sa3r tamam,2024-05-16
REV0115,C0701,P0378,4.0,El sa3r mo3taghal,2023-04-12
REV0116,C0656,P0366,3.0,Tawseel sarie3 gedan,2024-04-10
REV0117,C0022,P0051,2.0,Mesh ha2khudha tany,2023-03-12
REV0118,C0238,P0336,5.0,,2023-05-29
REV0119,C0551,P0256,1.0,EL TAWSEEL KAN BTA2,2023-05-15
REV0120,C0243,P0598,2.0,El 3ala 7abeby,2024-03-07
REV0121,C0790,P0369,1.0,El 7agat etewsla 3ala 7alaha,2024-09-21
REV0122,C0530,P0308,1.0,El khedma 3amali awy,2024-02-16
REV0123,C0451,P0075,3.0,Khedma tawil ya jama3a,2023-05-10
REV0124,C0334,P0389,5.0,El 7aga etewslat bel seh,2024-09-11
REV0125,C0665,P0560,2.0,El 7agat etewsla 3ala 7alaha,2024-02-28
REV0126,C0096,P0320,3.0,La2 ma3qool,2024-12-04
REV0127,C0094,P0440,3.0,El khedma momtaza gedan,2023-03-03
REV0128,C0124,P0419,4.0,Jo3a al3ab 3andhom,2023-10-22
REV0129,C0216,P0157,2.0,El 7aga etewslat wa2taha,2024-07-23
REV0130,C0437,P0570,5.0,El khedma momtaza gedan,2023-01-27
REV0131,C0030,P0184,3.0,El 7aga etewslat wa2taha,2023-01-07
REV0132,C0071,P0145,1.0,El sa3r mesh monaseb,2023-08-09
REV0133,C0321,P0332,5.0,Jo3a al3ab 3andhom,2023-06-09
REV0134,C0279,P0451,4.0,El tawseel kan fe wa2t,2023-10-07
REV0135,C0112,P0290,5.0,El 7aga zabarta 3amali,2023-02-16
REV0136,C0208,P0308,2.0,El tawseel 3alat basha,2023-12-02
REV0137,C0131,P0388,2.0,El 7aga etewslat wa2taha,2023-03-15
REV0138,C0467,P0079,5.0,El khedma momtaza,2024-12-27
REV0139,C0334,P0174,5.0,El sa3r mo3taghal,2023-04-01
REV0140,C0409,P0534,3.0,El 7agat etewsla 3ala 7alaha,2023-12-08
REV0141,C0541,P0520,3.0,La2 ma3qool,2023-08-30
REV0142,C0155,P0077,4.0,3ajaba el 3ala,2024-11-28
REV0143,C0636,P0330,3.0,Khedma tawil ya jama3a,2024-04-25
REV0144,C0057,P0359,3.0,Mesh zay el wasf,2023-02-28
REV0145,C0091,P0517,5.0,Mesh zay el wasf,2024-04-05
REV0146,C0616,P0485,1.0,El soora mesh zay eny shofta,2023-03-28
REV0147,C0445,P0447,5.0,El sa3r mo3taghal,2023-10-17
REV0148,C0053,P0342,1.0,El montag 3amali,2023-10-18
REV0149,C0614,P0152,5.0,El 7aga etewslat wa2taha,2023-11-14
REV0150,C0606,P0086,4.0,El soora mesh zay eny shofta,2023-05-11
REV0151,C0696,P0537,4.0,El tawseel kan bta2,2024-01-07
REV0152,C0779,P0495,2.0,El tawseel 3alat basha,2023-04-14
REV0153,C0537,P0038,5.0,El montag 3amali,2023-06-07
REV0154,C0168,P0446,,Sa3r akw men el market,2024-03-30
REV0155,C0239,P0543,4.0,3ajaba el khedma,2024-01-12
REV0156,C0781,P0288,5.0,Mumtaz 3ala kol 7aja,2023-07-24
REV0157,C0652,P0490,5.0,El sa3r mesh monaseb,2023-05-08
REV0158,C0522,P0149,1.0,El 7agat etewsla 3ala 7alaha,2024-04-06
REV0159,C0404,P0512,4.0,EL SA3R MO3TAGHAL,2023-08-18
REV0160,C0726,P0343,2.0,,2024-04-28
REV0161,C0141,P0478,1.0,El tawseel kan bta2,2023-09-20
REV0162,C0620,P0538,3.0,Tawseel sarie3 gedan,2023-02-18
REV0163,C0064,P0114,4.0,El tawseel kan bta2,2024-10-09
REV0164,C0437,P0002,2.0,El 7agat etewsalet kamla,2024-11-11
REV0165,C0536,P0554,5.0,El montag 3amali,2024-04-26
REV0166,C0760,P0018,1.0,Sa3r tamam,2024-08-18
REV0167,C0557,P0346,2.0,El montag mesh sha8al,2024-12-13
REV0168,C0728,P0466,,3ajaba el khedma,2023-02-12
REV0169,C0554,P0482,2.0,Jo3a al3ab 3andhom,2024-11-02
REV0170,C0408,P0448,4.0,El 7agat etewsalet kamla,2024-05-23
REV0171,C0274,P0084,1.0,El 7agat etewsalet kamla,2024-07-12
REV0172,C0304,P0313,4.0,3ajaba el 3ala,2023-12-26
REV0173,C0626,P0443,1.0,El khedma momtaza,2024-01-08
REV0174,C0032,P0146,4.0,,2023-03-10
REV0175,C0656,P0374,5.0,,2023-06-07
REV0176,C0379,P0379,1.0,El sa3r mesh monaseb,2024-01-11
REV0177,C0115,P0026,4.0,El khedma momtaza gedan,2023-05-01
REV0178,C0623,P0292,4.0,El 3ala 7abeby,2023-03-17
REV0179,C0089,P0327,1.0,El tawseel 3alat basha,2023-11-04
REV0180,C0649,P0177,5.0,3ajaba el khedma,2023-05-23
REV0181,C0583,P0376,5.0,El soora ghayr mowafqa lil montag,2023-03-09
REV0182,C0536,P0419,5.0,3ajaba el khedma gedan,2024-10-19
REV0183,C0130,P0560,2.0,El 3ala 7abeby,2024-03-19
REV0184,C0527,P0155,2.0,El 7agat etewsla 3ala 7alaha,2023-12-21
REV0185,C0080,P0256,5.0,El 7aga zabarta 3amali,2024-09-21
REV0186,C0591,P0156,5.0,El soora mesh zay eny shofta,2024-07-31
REV0187,C0652,P0586,2.0,El tawseel kan fe wa2t,2024-09-24
REV0188,C0298,P0309,4.0,Khedma tawil ya jama3a,2024-12-06
REV0189,C0207,P0348,3.0,3ajaba el khedma gedan,2023-12-20
REV0190,C0572,P0109,4.0,3ajaba el 3ala,2023-09-11
REV0191,C0627,P0426,2.0,3ajaba el khedma gedan,2023-07-14
REV0192,C0507,P0315,1.0,El 7aga etewslat bel seh,2024-04-13
REV0193,C0051,P0288,4.0,Montag momtaz w sa3ro monaseb,2023-04-21
REV0194,C0777,P0411,4.0,El khedma momtaza gedan,2023-07-19
REV0195,C0458,P0560,5.0,Tawseel sarie3 gedan,2023-05-12
REV0196,C0349,P0567,2.0,El 7aga etewslat bel seh,2024-02-16
REV0197,C0343,P0483,2.0,El 7aga etewslat bel seh,2023-05-24
REV0198,C0628,P0306,5.0,El montag 3amali gedan,2024-05-16
REV0199,C0377,P0339,4.0,El tawseel kan bta2,2024-09-03
REV0200,C0788,P0588,1.0,Mumtaz 3ala kol 7aja,2024-06-20
REV0201,C0150,P0248,,TAWSEEL SARIE3 GEDAN,2023-07-15
REV0202,C0154,P0421,4.0,El khedma 3amali awy,2023-03-05
REV0203,C0673,P0487,3.0,El montag mesh sha8al,2024-06-29
REV0204,C0733,P0270,2.0,El khedma ra2e3a awy,2024-07-25
REV0205,C0783,P0295,4.0,El 7aga etewslat wa2taha,2024-07-27
REV0206,C0123,P0583,4.0,El khedma momtaza,2023-12-20
REV0207,C0296,P0080,4.0,El khedma 3amali awy,2023-08-08
REV0208,C0707,P0278,5.0,Sa3r akw men el market,2023-09-06
REV0209,C0238,P0053,3.0,sa3r tamam,2024-11-28
REV0210,C0160,P0415,4.0,3ajaba el khedma,2023-10-22
REV0211,C0090,P0583,1.0,El 7agat etewsalet kamla,2024-03-03
REV0212,C0405,P0505,3.0,Montag momtaz w sa3ro monaseb,2023-11-02
REV0213,C0293,P0463,5.0,El 3ala 7abeby,2024-05-31
REV0214,C0165,P0467,2.0,,2023-12-12
REV0215,C0578,P0197,4.0,El 7aga etewslat bel seh,2023-12-02
REV0216,C0142,P0486,2.0,,2024-01-28
REV0217,C0766,P0273,3.0,Montag momtaz w sa3ro monaseb,2023-09-25
REV0218,C0120,P0474,4.0,El 7aga zabarta 3amali,2024-12-07
REV0219,C0626,P0226,2.0,El montag mesh sha8al,2024-09-12
REV0220,C0770,P0547,2.0,El soora ghayr mowafqa lil montag,2024-06-22
REV0221,C0574,P0115,5.0,3ajaba el khedma,2024-08-09
REV0222,C0449,P0120,5.0,El 7aga etewslat bel seh,2024-04-01
REV0223,C0464,P0573,4.0,El 7aga zabarta 3amali,2023-01-23
REV0224,C0589,P0074,,Khedma tawil ya jama3a,2024-07-08
REV0225,C0480,P0032,2.0,El tawseel kan fe wa2t,2024-01-19
INVALID,C0386,P0383,5.0,El 7aga etewslat wa2taha,2023-05-02
REV0227,C0740,P0228,1.0,El montag mesh sha8al,2024-11-20
REV0228,C0235,P0253,2.0,Tawseel sarie3 gedan,2023-02-02
REV0229,C0017,P0246,1.0,3ajaba el 3ala,2024-09-04
REV0230,C0045,P0410,5.0,Jo3a al3ab 3andhom,2023-05-24
REV0231,C0744,P0585,5.0,3ajaba el khedma gedan,2023-08-31
REV0232,C0225,P0421,1.0,El 7agat etewsalet kamla,2024-10-03
REV0233,C0354,P0389,3.0,El tawseel kan fe wa2t,2023-06-02
REV0234,C0247,P0230,2.0,Jo3a al3ab 3andhom,2024-07-29
REV0235,C0397,P0248,3.0,3ajaba el 3ala,2024-01-15
REV0236,C0275,P0385,5.0,,2023-03-16
REV0237,C0774,P0597,5.0,Mesh ha2khudha tany,2023-12-07
REV0238,C0193,P0121,4.0,Mesh ha2khudha tany,2024-02-11
REV0239,C0389,P0475,3.0,El sa3r mo3taghal,2024-06-09
REV0240,C0734,P0478,3.0,El sa3r mo3taghal,2023-11-17
REV0241,C0148,P0018,5.0,El tawseel kan fe wa2t,2023-10-30
REV0242,C0252,P0509,3.0,El tawseel momtaz,2024-10-19
REV0243,C0362,P0172,5.0,El montag 3amali gedan,2024-10-19
REV0244,C0076,P0049,4.0,el 7agat etewsla 3ala 7alaha,2023-03-11
REV0245,C0382,P0061,5.0,EL TAWSEEL MOMTAZ,2023-01-17
REV0246,C0013,P0018,3.0,El tawseel 3alat basha,2023-01-18
REV0247,C0182,P0110,5.0,3ajaba el khedma,2024-09-26
REV0248,C0405,P0080,4.0,Sa3r akw men el market,2024-12-14
REV0249,C0664,P0032,4.0,El khedma 3amali awy,2023-02-27
REV0250,C0441,P0339,1.0,Mesh zay el wasf,2023-08-24
REV0251,C0483,P0277,,El khedma ra2e3a awy,2024-07-10
REV0252,C0324,P0018,5.0,El khedma momtaza,2023-03-20
REV0253,C0398,P0550,2.0,El soora ghayr mowafqa lil montag,2024-05-27
REV0254,C0237,P0077,5.0,EL KHEDMA MOMTAZA,2023-12-01
REV0255,C0458,P0500,5.0,El 7aga zabarta gedan,2023-07-10
REV0256,C0630,P0302,1.0,La2 ma3qool,2024-01-25
REV0257,C0326,P0368,1.0,3ajaba el 3ala,2024-01-04
REV0258,C0438,P0457,5.0,El tawseel kan bta2,2023-04-02
REV0259,C0334,P0393,,El soora ghayr mowafqa lil montag,2024-07-26
REV0260,C0172,P0388,3.0,El tawseel momtaz,2023-05-30
REV0261,C0492,P0078,2.0,El tawseel momtaz,2024-08-31
REV0262,C0007,P0404,5.0,El soora mesh zay eny shofta,2024-03-26
REV0263,C0605,P0139,5.0,3ajaba el khedma,2024-05-05
REV0264,C0300,P0500,2.0,El khedma ra2e3a awy,2024-02-07
REV0265,C0556,P0184,5.0,,2024-04-17
REV0266,C0213,P0446,1.0,El tawseel kan fe wa2t,2024-11-20
REV0267,C0669,P0156,4.0,El khedma 3amali awy,2024-08-19
REV0268,C0703,P0426,3.0,El montag 3amali gedan,2024-08-31
REV0269,C0668,P0362,5.0,,2024-10-22
REV0270,C0408,P0339,4.0,Sa3r tamam,2023-09-22
REV0271,C0699,P0585,3.0,El 7aga etewslat bel seh,2023-06-04
REV0272,C0424,P0087,2.0,El soora mesh zay eny shofta,2024-04-11
REV0273,C0098,P0446,4.0,El 7aga zabarta 3amali,2023-02-15
REV0274,C0659,P0112,2.0,Sa3r akw men el market,2024-06-12
REV0275,C0470,P0237,2.0,EL 7AGA ZABARTA GEDAN,2024-02-10
REV0276,C0201,P0458,4.0,,2023-08-08
REV0277,C0765,P0064,5.0,3ajaba el khedma gedan,2023-07-21
REV0278,C0538,P0320,5.0,Tawseel sarie3 gedan,2023-12-23
REV0279,C0684,P0304,5.0,El 3ala 7abeby,2023-11-17
REV0280,C0705,P0144,4.0,El montag 3amali,2024-03-09
REV0281,C0656,P0176,4.0,El 7agat etewsalet kamla,2023-11-19
REV0282,C0010,P0494,4.0,El 7aga etewslat bel seh,2024-10-30
REV0283,C0451,P0498,5.0,,2023-08-14
REV0284,C0282,P0230,2.0,El tawseel momtaz,2024-07-16
REV0285,C0554,P0374,1.0,3ajaba el 3ala,2024-07-13
REV0286,C0664,P0253,1.0,El 7aga etewslat wa2taha,2023-03-31
REV0287,C0242,P0214,5.0,El 7aga zabarta gedan,2023-06-19
REV0288,C0060,P0579,3.0,Mumtaz 3ala kol 7aja,2023-11-28
REV0289,C0523,P0097,4.0,El khedma ra2e3a awy,2024-11-02
REV0290,C0723,P0329,4.0,El khedma ra2e3a awy,2024-10-04
REV0291,C0781,P0095,3.0,El sa3r mo3taghal,2024-04-10
REV0291,C0781,P0095,3.0,El sa3r mo3taghal,2024-04-10
REV0292,C0786,P0095,4.0,El 7aga etewslat wa2taha,2023-03-06
REV0293,C0215,P0504,3.0,El 3ala 7abeby,2024-08-02
INVALID,C0775,P0049,,El montag mesh sha8al,2023-01-17
REV0295,C0001,P0436,2.0,El 7aga zabarta 3amali,2023-06-12
REV0296,C0371,P0256,2.0,El 7aga zabarta 3amali,2024-12-17
REV0297,C0096,P0002,1.0,el 7agat etewsla 3ala 7alaha,2024-06-15
REV0298,C0122,P0430,4.0,El montag 3amali,2023-04-02
REV0299,C0308,P0140,2.0,la2 ma3qool,2023-03-12
REV0300,C0447,P0358,2.0,3ajaba el 3ala,2023-08-11
REV0301,C0600,P0392,4.0,El 3ala 7abeby,2023-09-11
REV0302,C0611,P0291,1.0,El 7aga zabarta 3amali,2023-07-30
REV0303,C0304,P0055,2.0,Tawseel sarie3 gedan,2023-09-04
REV0304,C0013,P0368,2.0,El tawseel kan fe wa2t,2024-01-10
REV0305,C0782,P0074,,El montag mesh kwayes,2023-08-09
REV0306,C0515,P0293,5.0,El 7aga zabarta gedan,2024-12-19
REV0307,C0155,P0284,1.0,Mesh ha2khudha tany,2023-06-09
REV0308,C0661,P0067,4.0,Sa3r akw men el market,2023-03-01
REV0309,C0623,P0056,2.0,EL 3ALA 7ABEBY,2024-12-19
REV0310,C0357,P0533,3.0,El 3ala 7abeby,2023-10-03
REV0311,C0345,P0437,1.0,Khedma tawil ya jama3a,2024-05-23
REV0312,C0577,P0169,3.0,tawseel sarie3 gedan,2023-08-22
REV0313,C0013,P0250,,La2 ma3qool,2023-07-03
REV0314,C0726,P0427,2.0,3ajaba el khedma gedan,2023-10-05
REV0315,C0684,P0053,5.0,El khedma momtaza,2023-03-12
REV0316,C0320,P0335,4.0,,2023-07-25
REV0317,C0797,P0311,2.0,El tawseel momtaz,2023-07-20
REV0318,C0153,P0007,1.0,El 7aga etewslat wa2taha,2024-10-13
REV0319,C0002,P0384,3.0,El sa3r mesh monaseb,2023-09-01
REV0320,C0144,P0286,2.0,El sa3r mesh monaseb,2024-02-27
REV0321,C0086,P0590,2.0,El khedma momtaza,2023-03-18
REV0322,C0132,P0242,3.0,El khedma momtaza,2024-12-18
REV0323,C0239,P0076,2.0,Sa3r tamam,2023-06-09
REV0324,C0122,P0545,2.0,El montag mesh sha8al,2023-09-29
REV0325,C0313,P0041,3.0,Sa3r akw men el market,2023-12-31
REV0326,C0177,P0031,4.0,El khedma momtaza gedan,2023-09-13
REV0327,C0123,P0014,2.0,El khedma momtaza,2024-01-17
REV0328,C0597,P0265,1.0,,2023-03-08
REV0329,C0657,P0452,1.0,El soora mesh zay eny shofta,2023-05-06
REV0330,C0584,P0441,4.0,El montag 3amali,2024-11-30
REV0331,C0282,P0286,2.0,,2024-09-26
REV0332,C0658,P0302,5.0,El soora ghayr mowafqa lil montag,2023-10-14
REV0333,C0536,P0255,5.0,El montag 3amali,2024-12-31
INVALID,C0576,P0512,3.0,3ajaba el khedma gedan,2024-09-03
REV0335,C0059,P0481,5.0,Mumtaz 3ala kol 7aja,2023-04-13
REV0336,C0749,P0057,2.0,El montag 3amali,2023-12-30
REV0337,C0242,P0325,3.0,El tawseel kan bta2,2024-12-21
REV0338,C0573,P0192,4.0,El 7agat etewsalet kamla,2024-05-17
REV0339,C0021,P0537,3.0,3ajaba el khedma,2023-05-14
REV0340,C0333,P0060,,La2 ma3qool,2023-04-24
REV0341,C0382,P0404,3.0,El 3ala 7abeby,2023-06-11
REV0342,C0495,P0324,5.0,El 7aga etewslat wa2taha,2023-08-17
REV0343,C0746,P0301,1.0,El khedma momtaza,2024-08-04
REV0344,C0623,P0226,1.0,La2 ma3qool,2023-12-06
REV0345,C0170,P0090,3.0,El montag mesh kwayes,2023-08-03
REV0346,C0109,P0002,,El tawseel kan fe wa2t,2023-06-20
REV0347,C0557,P0383,4.0,El 7agat etewsla 3ala 7alaha,2023-06-16
REV0348,C0021,P0326,1.0,Mumtaz 3ala kol 7aja,2024-01-20
REV0349,C0094,P0346,5.0,El tawseel kan bta2,2024-03-17
REV0350,C0159,P0054,2.0,El tawseel kan fe wa2t,2024-12-14
REV0351,C0671,P0288,1.0,,2024-08-08
REV0352,C0499,P0156,1.0,El tawseel 3alat basha,2024-11-08
REV0353,C0210,P0173,1.0,Tawseel sarie3 gedan,2023-11-12
REV0354,C0272,P0093,4.0,El montag 3amali,2024-01-14
REV0355,C0270,P0231,5.0,Sa3r tamam,2023-03-29
REV0356,C0769,P0599,1.0,El sa3r mesh monaseb,2024-03-04
REV0357,C0583,P0241,1.0,Mesh zay el wasf,2024-05-29
REV0358,C0632,P0149,4.0,Mumtaz 3ala kol 7aja,2023-08-05
REV0359,C0694,P0443,2.0,El montag mesh kwayes,2023-11-24
REV0360,C0397,P0565,3.0,el sa3r mesh monaseb,2024-04-14
REV0361,C0598,P0533,1.0,La2 ma3qool,2024-08-03
REV0362,C0107,P0572,3.0,El 7aga etewslat wa2taha,2024-02-25
REV0363,C0481,P0038,4.0,El khedma momtaza,2023-02-09
REV0364,C0050,P0484,3.0,,2023-11-07
REV0365,C0500,P0100,2.0,3ajaba el 3ala,2023-11-25
REV0366,C0191,P0450,4.0,El sa3r mesh monaseb,2024-01-18
REV0367,C0320,P0516,5.0,El tawseel kan bta2,2023-06-27
REV0368,C0256,P0033,3.0,El khedma ra2e3a awy,2024-01-13
REV0369,C0125,P0031,4.0,El 7agat etewsalet kamla,2024-04-30
REV0370,C0265,P0092,4.0,,2024-08-08
REV0371,C0218,P0226,2.0,EL TAWSEEL KAN FE WA2T,2024-06-09
REV0372,C0779,P0010,2.0,Montag momtaz w sa3ro monaseb,2023-08-18
REV0373,C0721,P0281,4.0,El montag mesh sha8al,2023-09-16
REV0374,C0635,P0405,1.0,El sa3r mo3taghal,2024-07-28
REV0375,C0109,P0491,3.0,El khedma ra2e3a awy,2023-09-25
REV0376,C0191,P0152,2.0,El khedma momtaza,2024-11-07
REV0377,C0506,P0302,4.0,Mesh zay el wasf,2024-08-20
REV0378,C0738,P0227,4.0,El 7aga etewslat wa2taha,2024-06-03
REV0379,C0569,P0185,4.0,El montag mesh kwayes,2024-07-26
REV0380,C0345,P0091,2.0,El 7aga zabarta 3amali,2024-03-06
REV0381,C0303,P0472,4.0,Khedma tawil ya jama3a,2024-04-28
REV0382,C0390,P0540,1.0,La2 ma3qool,2023-05-21
REV0383,C0465,P0146,2.0,El tawseel momtaz,2023-12-07
REV0384,C0005,P0460,2.0,Mumtaz 3ala kol 7aja,2024-05-16
REV0385,C0441,P0437,4.0,Mesh zay el wasf,2024-06-30
